id,name,age,score
458,Diana Smith,52,23.67
459,Eve Johnson,35,73.59
460,Ivan Johnson,59,
461,Ivan Brown,34,72.65
462,Ivan Davis,60,67.26
463,Alice Smith,49,60.91
464,Frank Williams,48,83.27
465,Ivan Brown,62,60.28
466,Heidi Davis,,98.97
467,Judy Johnson,33,1.77
468,Ivan Miller,61,30.19
469,Frank Davis,70,88.84
470,  Bob Smith  ,44,
471,Diana Garcia,27,5.06
472,Eve Brown,77,67.9
473,Eve Davis,59,6.17
474,Judy Wilson,67,3.1
475,Diana Brown,65,94.07
476,Grace Miller,33,17.1
477,Ivan Miller,73,38.94
478,  Bob Rodriguez  ,51,11.22
479,Frank Rodriguez,55,30.99
480,Eve Johnson,45,19.97
481,Ivan Miller,78,94.61
482,Frank Garcia,33,18.99
483,Judy Brown,36,77.38
484,Eve Rodriguez,50,93.19
485,Frank Miller,55,45.4
486,Bob Smith,47,72.76
487,Ivan Davis,58,57.1
488,Ivan Garcia,61,98.37
489,Diana Johnson,77,12.65
490,Charlie Davis,34,73.85
491,Charlie Jones,24,78.21
492,Heidi Williams,48,17.97
493,Grace Davis,79,78.47
494,Alice Williams,37,89.06
495,Judy Davis,59,77.46
496,Heidi Smith,63,75.02
497,Grace Garcia,80,94.15
498,  Diana Wilson  ,57,95.35
499,Bob Johnson,24,17.89
500,Frank Miller,52,42.64
501,Diana Johnson,30,44.41
502,Bob Jones,33,98.22
503,Frank Rodriguez,64,89.53
504,Judy Davis,28,83.8
505,  Heidi Garcia  ,43,92.78
506,Grace Smith,56,64.81
507,Diana Williams,18,70.11
508,Alice Smith,61,62.77
509,Diana Brown,27,57.91
510,Grace Brown,39,31.66
511,Bob Davis,24,67.61
512,Judy Davis,67,22.7
513,Bob Davis,48,47.27
514,Charlie Brown,35,67.63
515,Judy Garcia,59,4.31
516,Heidi Miller,46,50.5
517,Frank Miller,70,94.03
518,Diana Davis,78,96.65
519,Grace Brown,63,12.2
520,Bob Miller,24,65.99
521,Ivan Garcia,71,88.38
522,Heidi Garcia,31,66.87
523,Bob Johnson,73,88.6
524,Frank Davis,60,79.71
525,  Frank Williams  ,76,52.16
526,Eve Rodriguez,37,64.17
527,Grace Garcia,24,71.33
528,Heidi Jones,79,68.09
529,Charlie Wilson,80,77.76
530,Bob Miller,28,37.21
531,Bob Miller,24,8.74
532,Diana Smith,19,1.91
533,Eve Wilson,51,28.39
534,Frank Wilson,56,22.95
535,Alice Smith,23,69.95
536,Bob Williams,70,19.92
537,Judy Davis,38,23.8
538,Alice Brown,73,88.79
539,Grace Rodriguez,72,65.47
540,Ivan Smith,20,26.43
541,Alice Davis,36,60.3
542,Ivan Brown,38,58.05
543,  Eve Garcia  ,52,78.85
544,Heidi Miller,46,34.87
545,Grace Davis,39,62.11
546,Grace Williams,63,25.4
547,Bob Jones,32,86.28
548,Frank Johnson,,29.34
549,Heidi Jones,29,61.27
550,Bob Wilson,54,15.62
551,Charlie Garcia,29,15.77
552,Alice Rodriguez,46,47.56
553,Eve Smith,62,23.96
554,Grace Jones,,64.69
555,Heidi Jones,55,50.17
556,Judy Smith,53,83.77
557,  Ivan Garcia  ,76,83.0
558,Heidi Garcia,72,3.37
559,  Diana Wilson  ,41,5.0
560,Bob Garcia,56,34.96
561,Ivan Smith,72,6.88
562,Charlie Davis,19,0.25
563,Eve Johnson,47,6.31
564,Heidi Brown,57,
565,Ivan Miller,38,36.87
566,Ivan Rodriguez,42,43.72
567,  Bob Williams  ,33,70.8
568,Bob Williams,37,48.16
569,Charlie Davis,80,3.43
570,Heidi Garcia,31,51.58
571,  Alice Jones  ,24,80.32
572,Bob Johnson,31,62.65
573,Alice Miller,69,49.76
574,Heidi Miller,79,74.75
575,Frank Johnson,71,23.89
576,Alice Brown,36,39.72
577,Frank Smith,64,85.61
578,  Heidi Smith  ,80,89.56
579,Eve Garcia,65,48.88
580,Heidi Johnson,47,22.37
581,Judy Rodriguez,19,46.16
582,Judy Brown,49,15.54
583,Eve Rodriguez,40,10.02
584,Diana Smith,48,24.24
585,Ivan Wilson,58,20.91
586,Diana Garcia,50,2.1
587,Judy Wilson,37,17.34
588,Charlie Jones,45,24.03
589,Diana Miller,59,11.35
590,Bob Davis,31,14.34
591,Charlie Johnson,21,91.95
592,Judy Davis,51,75.89
593,  Heidi Williams  ,33,12.7
594,Frank Brown,57,65.72
595,Diana Jones,74,48.49
596,Bob Jones,34,15.38
597,  Charlie Wilson  ,52,26.69
598,Heidi Smith,78,52.24
599,Bob Rodriguez,51,94.55
600,Bob Miller,65,60.17
601,Bob Jones,72,36.04
602,Grace Smith,41,93.7
603,Eve Williams,47,94.44
604,Frank Smith,58,51.69
605,  Heidi Rodriguez  ,25,22.68
606,Ivan Rodriguez,47,90.3
607,Alice Williams,34,45.66
608,Grace Garcia,76,22.89
609,Ivan Rodriguez,68,82.76
610,Frank Jones,76,74.16
611,Heidi Wilson,59,59.91
612,Diana Williams,64,84.11
613,Eve Brown,62,21.0
614,Diana Davis,78,61.34
615,  Frank Smith  ,37,90.72
616,Ivan Wilson,77,41.13
617,Eve Jones,32,59.2
618,Grace Jones,65,60.12
619,Heidi Garcia,50,19.99
620,Judy Garcia,26,62.83
621,Heidi Smith,27,88.97
622,Bob Rodriguez,61,5.04
623,Ivan Davis,75,73.77
624,Ivan Miller,55,43.58
625,  Alice Garcia  ,31,48.62
626,Alice Rodriguez,62,81.4
627,Judy Wilson,38,41.12
628,Ivan Miller,64,90.1
629,Judy Garcia,34,2.72
630,Frank Miller,38,52.13
631,Charlie Johnson,73,45.2
632,Judy Davis,37,61.52
633,Frank Brown,27,5.52
634,Ivan Miller,66,60.47
635,Alice Miller,46,65.79
636,Grace Johnson,53,6.85
637,Frank Wilson,31,45.43
638,Frank Garcia,60,5.99
639,Heidi Johnson,58,92.99
640,Grace Brown,65,29.38
641,  Grace Williams  ,72,96.4
642,Judy Smith,40,61.92
643,Grace Garcia,45,11.22
644,Eve Johnson,68,37.77
645,Bob Davis,49,44.78
646,  Charlie Brown  ,32,94.76
647,Diana Williams,37,88.5
648,Alice Johnson,57,
649,Ivan Garcia,58,24.97
650,Alice Smith,28,33.08
651,Judy Miller,71,74.3
652,Grace Williams,20,21.77
653,Eve Jones,36,24.18
654,Charlie Rodriguez,59,14.81
655,Ivan Garcia,42,40.21
656,Grace Johnson,62,95.04
657,Diana Davis,34,62.12
658,Charlie Miller,32,42.5
659,Alice Davis,78,28.56
660,  Bob Smith  ,45,9.23
661,Eve Davis,68,65.24
662,Frank Smith,41,12.88
663,Frank Smith,55,10.58
664,Ivan Brown,70,22.05
665,Grace Rodriguez,35,39.08
666,Ivan Williams,55,
667,Heidi Miller,37,56.02
668,Eve Brown,55,15.9
669,Heidi Miller,39,92.19
670,  Ivan Brown  ,41,6.16
671,Eve Wilson,57,29.01
672,Diana Rodriguez,22,0.08
673,  Diana Johnson  ,65,98.65
674,Eve Smith,66,94.55
675,Bob Miller,32,3.47
676,  Heidi Rodriguez  ,25,26.19
677,Judy Jones,51,
678,Diana Miller,31,15.97
679,Ivan Jones,25,36.61
680,Grace Wilson,68,55.76
681,  Heidi Davis  ,56,38.21
682,Judy Davis,32,1.2
683,Heidi Jones,57,49.78
684,Eve Brown,65,87.68
685,Bob Williams,28,51.55
686,  Bob Davis  ,58,42.63
687,Ivan Johnson,26,64.17
688,Ivan Rodriguez,45,72.27
689,Judy Wilson,63,36.17
690,Bob Williams,47,11.23
691,Bob Williams,59,79.85
692,Bob Garcia,77,71.12
693,Eve Davis,23,10.72
694,Alice Smith,68,75.55
695,Alice Williams,45,94.91
696,Alice Brown,32,49.73
697,Bob Garcia,45,79.13
698,Bob Rodriguez,78,8.69
699,Frank Brown,56,83.28
700,Diana Garcia,73,69.56
701,Frank Miller,53,35.34
702,Charlie Jones,31,40.18
703,Grace Davis,44,82.48
704,Alice Rodriguez,39,79.39
705,Bob Miller,47,33.04
706,Heidi Johnson,55,44.66
707,Frank Johnson,32,87.76
708,Heidi Jones,36,72.69
709,Eve Williams,59,47.52
710,  Heidi Smith  ,78,47.4
711,Ivan Garcia,56,31.47
712,Eve Rodriguez,39,31.87
713,Frank Williams,20,12.72
714,Heidi Williams,38,31.4
715,Bob Brown,54,80.26
716,Eve Brown,41,11.98
717,Ivan Jones,56,53.52
718,Alice Rodriguez,29,21.79
719,Eve Davis,77,9.85
720,Eve Rodriguez,73,33.7
721,Alice Williams,40,10.82
722,Charlie Wilson,32,97.41
723,Grace Miller,29,59.28
724,  Charlie Wilson  ,64,58.61
725,Alice Garcia,49,83.18
726,Frank Johnson,44,85.51
727,Bob Smith,18,79.46
728,Heidi Davis,44,
729,Judy Williams,48,54.72
730,  Ivan Garcia  ,80,15.56
731,  Frank Jones  ,54,39.54
732,Judy Garcia,62,16.1
733,Alice Jones,53,60.95
734,Charlie Miller,50,61.63
735,Heidi Smith,43,25.33
736,Frank Rodriguez,38,30.07
737,Alice Miller,28,5.82
738,Frank Smith,53,
739,Diana Rodriguez,40,18.07
740,Charlie Johnson,52,53.62
741,Frank Miller,32,1.82
742,Ivan Smith,41,56.39
743,Grace Brown,76,50.91
744,Frank Wilson,60,28.85
745,Heidi Garcia,20,95.59
746,  Frank Williams  ,,85.79
747,Frank Miller,18,25.63
748,Heidi Miller,41,75.42
749,Diana Miller,74,12.17
750,Alice Smith,29,49.32
751,Heidi Smith,66,15.23
752,Judy Smith,33,94.58
753,Diana Williams,72,6.48
754,Grace Davis,40,89.91
755,Frank Miller,51,8.9
756,Judy Jones,47,93.56
757,Judy Jones,33,12.84
758,  Frank Davis  ,24,64.43
759,  Diana Wilson  ,47,52.29
760,Heidi Williams,32,29.7
761,Diana Smith,22,78.71
762,Diana Rodriguez,29,87.46
763,Diana Miller,23,
764,Bob Garcia,78,55.33
765,Grace Smith,68,60.02
766,Bob Jones,57,12.97
767,Alice Johnson,27,99.31
768,Heidi Davis,50,28.05
769,  Eve Williams  ,43,50.41
770,Diana Johnson,70,38.82
771,  Frank Garcia  ,58,
772,Charlie Williams,34,77.47
773,Judy Wilson,28,1.44
774,Heidi Wilson,69,
775,Heidi Miller,26,16.58
776,Bob Johnson,51,26.27
777,Charlie Smith,38,
778,Charlie Smith,25,8.32
779,Diana Miller,21,15.88
780,Ivan Johnson,54,40.38
781,Grace Williams,43,38.62
782,Alice Brown,63,76.75
783,Diana Miller,30,
784,Eve Smith,80,31.34
785,Eve Brown,41,27.64
786,Ivan Wilson,79,51.21
787,Ivan Rodriguez,39,13.62
788,Charlie Johnson,58,15.54
789,Grace Davis,64,54.02
790,Alice Rodriguez,42,98.14
791,Heidi Williams,64,88.91
792,  Alice Rodriguez  ,67,94.8
793,Eve Jones,60,54.99
794,Diana Johnson,73,55.1
795,Ivan Johnson,46,91.69
796,Grace Smith,23,57.91
797,Frank Williams,76,44.28
798,Heidi Miller,67,
799,Frank Miller,34,65.91
800,Eve Smith,61,43.44
801,Ivan Brown,70,43.48
802,Grace Garcia,43,85.05
803,Bob Rodriguez,59,41.44
804,Bob Jones,71,73.81
805,Bob Wilson,37,90.14
806,  Alice Rodriguez  ,37,53.56
807,  Judy Jones  ,48,
808,Frank Jones,49,12.39
809,Judy Johnson,24,71.86
810,Charlie Brown,63,68.64
811,Frank Miller,50,80.02
812,Judy Jones,74,13.87
813,Alice Miller,58,81.14
814,Ivan Miller,26,2.92
815,  Ivan Miller  ,69,65.28
816,Charlie Davis,38,19.77
817,Alice Wilson,71,16.29
818,Eve Rodriguez,80,57.68
819,Frank Brown,38,93.2
820,Diana Rodriguez,78,93.69
821,Bob Wilson,51,40.65
822,Judy Miller,65,71.65
823,Grace Johnson,66,94.99
824,Charlie Brown,29,91.97
825,Frank Miller,34,77.98
826,Charlie Jones,58,38.88
827,Frank Jones,64,81.8
828,Grace Brown,59,
829,Heidi Miller,54,
830,Bob Jones,59,55.84
831,Diana Wilson,67,60.66
832,Eve Williams,45,24.83
833,Judy Garcia,47,75.6
834,  Eve Johnson  ,44,97.53
835,Diana Rodriguez,53,57.24
836,Judy Miller,25,22.29
837,  Alice Rodriguez  ,27,51.43
838,Diana Wilson,72,80.63
839,  Bob Smith  ,68,40.53
840,Diana Garcia,37,98.61
841,Diana Garcia,28,27.01
842,Bob Jones,24,44.23
843,Charlie Wilson,78,22.13
844,Grace Garcia,21,26.61
845,  Judy Davis  ,57,96.66
846,Diana Wilson,37,89.45
847,Bob Johnson,60,44.89
848,Frank Garcia,23,
849,Heidi Miller,39,84.28
850,Alice Johnson,57,59.88
851,Diana Smith,22,12.95
852,Judy Garcia,53,7.38
853,Diana Miller,20,66.74
854,Judy Davis,23,30.41
855,  Judy Jones  ,32,19.06
856,Charlie Johnson,72,99.95
857,Bob Rodriguez,38,81.05
858,Alice Johnson,68,34.9
859,  Eve Davis  ,60,87.98
860,Judy Johnson,58,94.18
861,Ivan Johnson,34,27.72
862,Charlie Smith,20,72.54
863,Charlie Williams,70,59.16
864,Frank Jones,46,61.73
865,Grace Miller,66,2.24
866,Ivan Smith,79,4.56
867,Frank Rodriguez,50,28.05
868,Heidi Brown,50,36.14
869,Frank Williams,69,77.51
870,Judy Wilson,42,14.82
871,Heidi Wilson,78,57.72
872,Charlie Rodriguez,76,15.18
