name,value,category,date
Judy Rodriguez,151.42,D,2026-08-26
Ivan Miller,755.74,B,2021-06-16
Frank Davis,121.8,A,2026-10-01
Bob Williams,388.31,C,2021-09-04
Bob Davis,647.49,A,2026-08-12
Heidi Jones,553.16,B,2025-08-09
Grace Davis,320.94,A,2020-01-20
Heidi Johnson,893.63,A,2021-01-29
Charlie Johnson,795.35,B,2023-11-06
Eve Jones,872.95,A,2022-09-26
Bob Garcia,60.73,D,2020-08-20
Alice Rodriguez,193.74,A,2021-01-14
Diana Davis,459.34,D,2025-02-13
Bob Johnson,98.38,D,2022-05-17
Ivan Rodriguez,217.02,C,2025-08-24
Charlie Williams,485.62,A,2022-09-06
Diana Rodriguez,441.86,D,2025-11-11
Frank Rodriguez,952.55,D,2025-04-28
Diana Johnson,459.09,B,2026-08-07
Judy Garcia,954.88,C,2025-04-27
Judy Davis,106.61,C,2022-11-13
Judy Miller,649.87,C,2023-08-17
Frank Brown,766.84,D,2023-10-26
Ivan Brown,263.33,B,2022-09-06
Diana Miller,143.45,C,2022-06-14
Frank Rodriguez,784.82,A,2020-10-01
Diana Smith,661.58,D,2023-08-07
Diana Garcia,973.32,C,2021-07-27
Diana Miller,90.51,A,2020-07-08
Diana Wilson,393.18,D,2022-05-21
Diana Davis,264.85,C,2026-07-20
Frank Brown,610.94,D,2026-03-10
Frank Brown,406.67,C,2024-09-12
Charlie Johnson,800.16,B,2023-07-07
Grace Miller,103.83,B,2024-11-04
Bob Johnson,420.98,B,2020-04-11
Bob Williams,420.57,A,2020-07-05
Grace Williams,543.2,A,2024-12-27
Charlie Johnson,4.28,B,2026-03-30
Diana Jones,716.27,D,2022-09-10
Heidi Brown,401.02,C,2021-06-09
Alice Garcia,320.93,D,2021-09-12
Charlie Brown,529.5,C,2020-12-07
Bob Wilson,125.0,D,2024-09-27
Judy Johnson,199.75,A,2021-03-08
Charlie Miller,416.77,D,2022-04-14
Alice Davis,526.45,C,2024-09-29
Ivan Johnson,74.68,A,2023-01-08
Bob Williams,583.69,C,2026-10-14
Bob Smith,483.8,C,2021-09-25
Eve Johnson,952.65,C,2021-04-24
Bob Jones,586.72,B,2024-07-24
Diana Smith,859.66,A,2020-09-13
Eve Brown,61.97,A,2022-07-03
Bob Smith,159.25,D,2020-04-01
Eve Smith,628.82,A,2022-06-12
Grace Garcia,184.77,A,2021-05-06
Charlie Rodriguez,6.25,B,2026-03-06
Diana Davis,591.82,B,2022-07-05
Diana Brown,954.39,A,2020-01-12
Charlie Johnson,598.89,C,2022-06-03
Charlie Davis,895.1,A,2020-10-29
Diana Johnson,936.45,A,2026-10-13
Heidi Garcia,520.61,A,2025-10-07
Ivan Miller,917.74,C,2020-07-05
Diana Garcia,840.87,A,2024-01-13
Frank Johnson,919.27,D,2026-03-14
Frank Rodriguez,284.49,B,2023-02-26
Heidi Jones,967.99,D,2021-12-18
Heidi Davis,621.56,D,2023-12-05
Charlie Wilson,474.94,C,2026-02-04
Diana Garcia,783.24,D,2021-07-16
Heidi Miller,911.29,D,2020-08-21
Eve Williams,590.75,A,2026-06-16
Ivan Rodriguez,351.67,B,2020-07-22
Grace Jones,392.43,C,2021-11-21
Diana Rodriguez,308.94,B,2026-09-27
Grace Wilson,184.91,A,2020-03-27
Heidi Wilson,654.84,A,2023-05-19
Alice Jones,599.02,C,2024-05-06
Eve Jones,631.47,D,2022-03-10
Bob Wilson,682.41,B,2020-10-13
Bob Garcia,54.19,B,2022-11-10
Eve Garcia,789.62,D,2022-06-10
Eve Brown,962.03,A,2022-11-26
Charlie Rodriguez,39.89,D,2023-03-04
Judy Garcia,452.46,B,2023-08-28
Ivan Williams,467.6,C,2021-10-13
Bob Rodriguez,853.29,D,2023-11-07
Alice Smith,546.79,C,2024-03-01
Alice Garcia,879.67,B,2022-11-08
Judy Garcia,120.34,A,2020-03-26
Judy Johnson,811.99,A,2023-07-25
Bob Brown,561.88,B,2021-01-26
Heidi Miller,596.1,D,2026-08-21
Ivan Garcia,235.59,A,2024-06-23
Judy Davis,497.73,D,2024-08-06
Bob Garcia,268.97,C,2023-12-17
Frank Smith,206.19,C,2020-01-22
Charlie Johnson,577.91,D,2023-02-16
Alice Rodriguez,453.37,B,2025-09-14
Alice Wilson,762.13,D,2024-07-18
Heidi Miller,976.84,B,2022-04-09
Ivan Davis,370.45,C,2020-12-27
Judy Brown,315.9,A,2024-12-12
Judy Miller,765.92,D,2024-01-05
Eve Johnson,673.41,C,2023-06-11
Diana Davis,100.69,A,2025-06-19
Heidi Jones,678.06,C,2024-10-19
Diana Wilson,4.15,B,2024-03-01
Heidi Jones,558.78,B,2022-09-04
Grace Johnson,465.74,D,2020-12-18
Frank Williams,274.87,D,2026-10-18
Heidi Johnson,234.56,C,2022-05-17
Charlie Johnson,624.58,A,2023-09-23
Alice Rodriguez,900.53,B,2021-03-28
Charlie Williams,355.78,A,2025-04-02
Heidi Williams,628.06,D,2024-06-22
Grace Davis,162.77,C,2023-03-17
Alice Wilson,771.71,C,2021-03-19
Charlie Smith,420.79,C,2023-12-09
Diana Johnson,532.88,B,2020-08-07
Bob Jones,884.78,B,2024-06-18
Frank Brown,350.54,C,2024-06-19
Judy Garcia,598.96,A,2022-06-20
Frank Brown,588.98,D,2024-10-13
Heidi Brown,908.71,C,2025-07-09
Frank Smith,879.04,B,2020-11-06
Diana Miller,769.47,A,2022-10-11
Diana Davis,272.1,A,2020-07-19
Eve Smith,544.73,D,2020-12-07
Grace Rodriguez,923.97,A,2022-08-01
Bob Garcia,261.86,C,2023-06-30
Alice Smith,660.13,D,2024-11-08
Heidi Miller,346.29,C,2026-11-28
Diana Wilson,398.76,D,2022-01-19
Bob Rodriguez,714.42,C,2025-01-24
Eve Rodriguez,659.44,D,2022-07-31
Judy Rodriguez,555.55,D,2022-01-26
Judy Johnson,221.45,B,2024-05-25
Charlie Williams,864.23,D,2025-01-05
Eve Johnson,677.98,B,2023-05-04
Charlie Jones,229.42,A,2025-08-04
Heidi Brown,252.66,D,2020-07-25
Heidi Garcia,671.69,B,2022-03-24
Charlie Williams,366.42,B,2026-12-21
Ivan Miller,925.05,B,2021-12-19
Heidi Williams,106.73,A,2021-09-20
Eve Smith,975.58,A,2026-07-06
Eve Rodriguez,469.28,D,2021-10-08
Diana Rodriguez,425.74,A,2023-03-15
Diana Williams,732.96,B,2025-05-16
Ivan Miller,746.01,D,2021-08-28
Heidi Wilson,119.88,D,2023-12-08
Ivan Williams,34.91,B,2020-01-25
Judy Jones,456.65,D,2023-11-13
Ivan Davis,661.78,C,2020-11-10
Bob Brown,118.65,B,2026-06-16
Frank Brown,847.15,A,2021-08-28
Bob Rodriguez,719.43,B,2026-02-04
Frank Rodriguez,550.81,B,2020-01-13
Heidi Jones,931.33,C,2022-11-08
Grace Jones,278.95,D,2025-05-30
Grace Brown,124.98,D,2022-11-09
Heidi Smith,791.94,B,2025-09-17
Charlie Davis,201.97,A,2026-06-29
Alice Smith,687.0,C,2026-03-11
Charlie Garcia,996.46,C,2023-08-04
Heidi Johnson,965.58,B,2022-08-11
Frank Jones,135.54,C,2026-10-18
Frank Smith,36.13,D,2022-09-02
Bob Miller,732.86,B,2026-09-26
Heidi Williams,910.1,B,2021-08-24
Eve Wilson,320.85,B,2022-05-19
Frank Wilson,972.83,D,2026-03-08
Diana Garcia,185.96,C,2025-04-19
Eve Williams,321.09,C,2022-04-16
Heidi Jones,52.63,A,2023-03-30
Heidi Johnson,3.33,A,2020-12-23
Grace Jones,101.86,D,2026-03-02
Frank Davis,578.75,D,2022-09-07
Frank Rodriguez,637.28,C,2024-07-21
Ivan Wilson,478.12,B,2026-10-31
Ivan Rodriguez,240.16,C,2024-07-03
Ivan Rodriguez,428.91,A,2023-03-12
Eve Davis,174.31,B,2026-06-27
Ivan Wilson,221.99,B,2020-06-26
Diana Miller,498.2,D,2022-02-28
Ivan Davis,387.08,A,2020-09-29
Ivan Wilson,72.83,A,2022-11-28
Judy Davis,677.3,B,2021-09-16
Judy Miller,597.0,B,2022-11-19
Grace Rodriguez,413.56,D,2025-09-19
Frank Garcia,746.33,C,2026-04-01
Alice Williams,838.96,B,2020-04-08
Diana Davis,985.02,B,2020-05-31
Frank Davis,291.71,D,2023-07-08
Eve Wilson,139.36,B,2023-10-29
Bob Johnson,780.42,C,2021-06-24
Frank Smith,241.35,A,2020-07-13
Diana Garcia,803.5,C,2025-06-09
Heidi Rodriguez,32.45,D,2026-02-23
Diana Brown,829.62,C,2026-04-12
Alice Smith,440.81,C,2023-07-26
Frank Smith,907.6,B,2023-09-19
Frank Jones,755.26,D,2020-02-19
Ivan Williams,188.26,D,2020-04-01
Ivan Miller,505.72,C,2021-05-03
Frank Smith,265.29,A,2021-04-03
Alice Smith,114.47,A,2022-11-07
Heidi Davis,874.13,A,2021-06-12
Diana Jones,79.54,C,2024-04-01
Ivan Williams,351.89,A,2020-08-09
Frank Wilson,635.28,D,2022-10-23
Diana Johnson,230.95,A,2020-09-08
Alice Davis,365.12,D,2021-11-03
Charlie Davis,399.39,B,2023-02-03
Frank Jones,334.43,A,2024-05-27
Heidi Wilson,427.23,C,2022-08-03
Alice Jones,735.52,C,2026-11-07
Diana Smith,628.27,B,2025-05-07
Judy Garcia,984.74,A,2026-04-18
Ivan Wilson,705.26,A,2026-01-07
Eve Johnson,407.58,B,2025-02-10
Heidi Miller,291.79,C,2025-07-18
Diana Johnson,783.13,C,2022-07-30
Charlie Johnson,606.02,A,2021-10-19
Ivan Johnson,749.58,B,2025-03-05
Frank Brown,530.98,B,2022-09-14
Bob Davis,549.78,D,2021-02-16
Heidi Davis,420.52,B,2021-12-16
Bob Jones,455.62,D,2021-04-22
Frank Miller,675.48,B,2023-05-18
Frank Johnson,616.79,D,2025-06-18
Ivan Wilson,437.79,C,2026-12-21
Bob Jones,552.72,A,2024-02-12
Grace Smith,759.21,D,2026-03-19
Bob Smith,181.68,B,2025-01-31
Charlie Wilson,123.71,C,2023-02-06
Alice Johnson,371.24,C,2021-10-07
Charlie Rodriguez,304.06,D,2022-11-08
Frank Smith,83.78,C,2021-09-09
Ivan Rodriguez,993.5,C,2023-09-13
Grace Davis,831.38,C,2023-02-27
Alice Rodriguez,413.86,D,2023-04-26
Judy Rodriguez,846.05,C,2025-05-22
Ivan Brown,766.74,B,2024-03-30
Ivan Smith,860.75,B,2020-03-23
Alice Smith,599.15,A,2021-06-27
Heidi Davis,694.77,A,2022-12-18
Charlie Miller,443.17,B,2021-06-11
Alice Brown,84.7,B,2020-02-10
Grace Wilson,804.55,B,2021-10-08
Grace Johnson,817.43,A,2025-01-25
Alice Williams,292.05,D,2026-06-14
Alice Johnson,42.98,C,2022-07-26
Heidi Davis,917.45,B,2020-07-04
Alice Johnson,654.22,A,2021-12-31
Judy Davis,322.13,D,2022-03-03
Diana Miller,455.14,C,2023-08-08
Heidi Williams,531.02,A,2022-02-04
Grace Smith,989.71,C,2026-11-09
Ivan Smith,206.69,A,2025-02-07
Alice Smith,300.64,D,2024-01-10
Charlie Davis,264.46,B,2021-07-25
Frank Smith,629.31,C,2024-03-13
Judy Miller,496.05,D,2024-11-22
Ivan Miller,918.0,A,2021-07-14
Heidi Jones,483.54,B,2022-01-14
Frank Miller,670.79,A,2023-02-12
Heidi Johnson,320.63,A,2024-01-27
Grace Wilson,372.57,A,2026-02-19
Heidi Miller,200.4,B,2023-08-13
Eve Jones,594.81,B,2025-03-21
Charlie Wilson,976.34,B,2022-11-03
Bob Miller,792.82,D,2025-06-01
Bob Wilson,621.62,D,2026-10-06
Judy Jones,138.87,C,2023-12-07
Alice Wilson,121.06,A,2020-05-08
Alice Smith,573.68,B,2023-08-19
Grace Jones,128.59,D,2026-03-12
Alice Jones,161.63,B,2025-11-10
Alice Davis,640.93,D,2023-04-16
Bob Rodriguez,720.65,B,2023-02-17
Charlie Garcia,944.27,A,2024-06-16
Heidi Rodriguez,149.18,A,2026-07-03
Diana Johnson,264.39,B,2026-02-09
Grace Johnson,637.48,C,2022-08-18
Diana Miller,326.11,B,2026-11-08
Heidi Smith,557.04,B,2020-09-03
Heidi Miller,657.37,C,2020-07-05
Frank Brown,811.6,C,2020-04-01
Charlie Davis,450.56,A,2026-11-26
Bob Wilson,36.87,A,2023-04-21
Eve Brown,605.74,A,2023-06-03
Charlie Wilson,863.56,C,2022-03-20
Bob Smith,330.66,C,2026-05-24
Diana Garcia,180.98,C,2023-01-15
Bob Brown,96.57,A,2020-02-26
Eve Smith,686.41,B,2023-11-07
Grace Smith,165.51,D,2023-12-12
Eve Rodriguez,43.61,C,2021-09-30
Judy Brown,133.77,D,2026-06-27
Frank Davis,283.81,D,2023-06-11
Ivan Williams,318.23,A,2025-08-15
Ivan Johnson,924.06,A,2025-07-11
Alice Wilson,433.92,B,2022-08-18
Judy Miller,719.09,B,2023-05-28
Frank Jones,68.06,A,2026-04-01
Judy Brown,131.56,C,2025-02-21
Grace Rodriguez,378.98,B,2023-03-09
Bob Brown,269.02,C,2021-07-21
Frank Smith,789.44,C,2026-09-01
Grace Rodriguez,279.72,D,2022-10-13
Diana Miller,808.82,D,2026-11-10
Diana Miller,738.65,B,2022-07-09
Alice Davis,738.87,A,2024-12-01
Diana Johnson,603.97,A,2022-02-11
Heidi Jones,720.48,B,2026-06-24
Heidi Williams,515.55,D,2021-12-20
Judy Wilson,270.03,D,2023-10-28
Grace Brown,873.63,C,2024-10-11
Bob Wilson,26.47,B,2022-10-27
Eve Jones,795.44,D,2026-12-27
Bob Davis,348.98,A,2021-08-08
Bob Garcia,82.04,C,2021-11-11
Alice Williams,210.41,C,2020-09-24
Eve Smith,578.64,C,2025-01-22
Alice Rodriguez,893.38,B,2024-02-08
Heidi Garcia,439.31,C,2022-06-13
Charlie Johnson,649.4,A,2025-12-05
Bob Smith,637.97,D,2023-08-26
Judy Williams,367.02,C,2025-04-20
Alice Smith,700.22,B,2024-07-22
Diana Jones,461.58,C,2021-09-24
Alice Garcia,171.11,D,2023-01-26
Frank Williams,991.41,D,2020-06-24
Heidi Smith,453.98,C,2022-11-10
Heidi Garcia,467.34,B,2026-10-08
Eve Brown,996.56,A,2023-05-03
Ivan Wilson,829.53,A,2021-01-05
Alice Smith,900.9,A,2025-04-03
Bob Brown,338.36,A,2020-12-11
Diana Miller,529.62,D,2024-06-04
Alice Garcia,1.85,A,2021-08-22
Charlie Smith,35.98,A,2021-10-22
Heidi Johnson,207.87,C,2020-04-03
Grace Jones,291.95,B,2024-04-02
Ivan Wilson,713.84,A,2025-02-17
Heidi Miller,33.73,A,2025-01-23
Charlie Garcia,576.09,C,2025-07-01
Alice Garcia,572.83,C,2021-03-29
Frank Johnson,641.53,A,2020-12-12
Heidi Rodriguez,267.86,A,2024-12-17
Bob Garcia,649.87,A,2020-10-19
Grace Jones,820.18,C,2021-12-09
Charlie Brown,57.18,D,2024-10-22
Alice Johnson,378.99,C,2022-07-18
Heidi Rodriguez,774.94,C,2023-01-13
Frank Miller,562.38,D,2026-10-06
Judy Jones,81.82,D,2020-10-19
Bob Brown,761.37,C,2020-12-25
Charlie Johnson,422.41,B,2023-01-01
Alice Davis,29.54,A,2026-11-11
Eve Jones,304.83,A,2020-04-04
Judy Brown,37.63,C,2025-06-13
Ivan Williams,478.9,B,2025-05-04
Diana Smith,480.17,B,2024-03-20
Frank Garcia,570.77,A,2022-10-29
Charlie Davis,697.14,D,2022-10-24
Ivan Smith,741.26,D,2020-07-30
Frank Davis,244.57,C,2024-11-12
Heidi Wilson,159.89,C,2020-11-27
Ivan Brown,388.59,A,2024-08-29
Grace Miller,204.02,C,2021-12-28
Frank Rodriguez,713.97,B,2024-01-15
Diana Miller,437.35,B,2023-02-27
Bob Miller,137.74,C,2023-02-13
Frank Rodriguez,839.75,A,2023-10-21
Charlie Garcia,411.41,B,2024-04-15
Alice Rodriguez,938.93,B,2023-03-24
Bob Smith,362.08,D,2022-03-26
Judy Brown,255.11,D,2020-04-27
Eve Miller,100.0,A,2026-05-16
Diana Miller,513.87,B,2023-09-26
Diana Johnson,462.66,D,2022-02-14
Ivan Davis,129.67,A,2023-09-28
Frank Jones,300.48,A,2026-03-20
Bob Johnson,616.11,A,2024-12-30
Charlie Jones,96.27,C,2023-05-23
Ivan Brown,31.28,D,2022-01-04
Eve Miller,860.42,B,2026-11-02
Eve Williams,9.44,B,2026-12-13
Eve Garcia,58.49,B,2025-11-09
Diana Miller,611.58,C,2020-09-11
Charlie Jones,720.06,D,2023-03-04
Ivan Williams,347.09,D,2025-04-05
Bob Smith,680.08,A,2021-06-12
Charlie Williams,79.22,D,2021-06-20
Diana Johnson,651.16,C,2023-03-04
Alice Rodriguez,265.03,C,2021-06-29
Eve Rodriguez,338.57,D,2024-03-26
Grace Wilson,605.36,B,2020-10-30
Heidi Rodriguez,585.06,A,2024-10-05
Judy Williams,298.04,A,2024-02-21
Grace Miller,982.76,B,2020-07-21
Diana Brown,984.56,A,2024-04-29
Charlie Wilson,195.47,B,2022-12-13
Judy Brown,500.05,B,2023-02-19
Charlie Wilson,273.42,A,2023-02-25
Charlie Wilson,339.81,B,2022-09-04
Frank Rodriguez,216.26,B,2023-11-14
Charlie Rodriguez,864.57,B,2023-11-11
Eve Garcia,852.3,C,2022-04-13
Judy Johnson,212.65,D,2026-08-26
Charlie Brown,736.26,C,2024-08-10
Judy Davis,383.72,C,2024-05-01
Heidi Jones,9.81,A,2022-09-07
Heidi Miller,993.9,D,2020-12-19
Frank Wilson,658.99,D,2023-02-22
Bob Davis,462.21,A,2026-10-11
Diana Wilson,586.77,A,2024-03-14
Alice Rodriguez,436.15,B,2023-09-06
Grace Jones,191.11,C,2024-05-28
Alice Johnson,390.32,D,2020-12-01
Ivan Miller,79.0,B,2026-10-07
Alice Williams,872.84,A,2025-02-09
Alice Davis,632.11,B,2024-03-04
Bob Jones,665.02,C,2023-09-01
Charlie Miller,15.0,D,2025-07-20
Alice Davis,14.05,B,2022-03-05
Bob Jones,139.48,D,2021-07-27
Judy Wilson,994.41,B,2026-11-22
Frank Davis,60.45,C,2022-07-21
Charlie Smith,105.17,C,2022-02-19
Alice Brown,320.1,C,2023-01-05
Grace Garcia,97.52,D,2022-10-05
Alice Garcia,915.79,B,2020-06-19
Frank Johnson,521.24,C,2025-03-28
Heidi Jones,91.7,B,2020-05-27
Diana Williams,49.56,D,2020-12-30
Diana Rodriguez,220.94,B,2023-05-13
Diana Miller,439.38,D,2020-02-23
Judy Johnson,222.86,C,2022-08-24
Alice Brown,657.33,C,2020-08-06
Grace Jones,944.15,D,2024-07-22
Alice Johnson,455.22,A,2024-06-03
Ivan Davis,656.06,D,2021-05-17
Eve Johnson,563.89,A,2020-04-10
Heidi Smith,2.76,D,2023-01-20
Heidi Williams,937.1,A,2024-09-01
Diana Brown,215.13,C,2024-02-14
Frank Jones,623.96,B,2021-08-26
Heidi Smith,412.17,B,2022-11-06
Frank Jones,11.07,D,2024-11-08
Judy Brown,981.32,B,2021-09-30
Charlie Davis,372.26,B,2024-11-30
Charlie Brown,931.53,C,2026-03-26
Frank Wilson,739.0,D,2024-08-21
Alice Smith,429.61,A,2023-02-19
Eve Wilson,228.29,D,2022-07-27
Eve Rodriguez,643.84,A,2021-04-11
Judy Wilson,961.35,D,2020-12-24
Heidi Miller,505.86,D,2020-03-27
Ivan Rodriguez,672.48,B,2025-05-12
Eve Miller,815.52,D,2025-06-13
Eve Davis,280.76,D,2021-07-05
Alice Johnson,810.06,C,2024-11-01
Eve Davis,96.32,B,2022-05-13
Frank Williams,612.15,B,2023-05-29
Alice Johnson,355.57,C,2021-12-21
Bob Rodriguez,427.25,C,2024-02-04
Alice Jones,91.41,B,2021-07-16
Eve Rodriguez,658.62,A,2026-09-08
Ivan Wilson,534.36,A,2026-04-12
Judy Jones,590.32,C,2023-03-24
Alice Johnson,70.81,B,2026-07-03
Judy Williams,954.22,D,2025-11-11
Bob Davis,571.14,D,2022-12-01
Frank Rodriguez,898.22,A,2021-03-25
Charlie Williams,517.05,C,2024-10-21
Diana Garcia,472.05,C,2024-06-23
Diana Rodriguez,45.14,D,2025-01-23
Bob Brown,920.46,D,2020-02-04
Judy Johnson,197.04,C,2021-11-26
Charlie Davis,770.79,A,2026-04-28
Grace Davis,562.39,C,2020-11-22
Grace Williams,870.67,A,2023-02-16
Judy Rodriguez,474.96,D,2023-10-01
Frank Brown,71.77,C,2020-02-11
Eve Davis,643.04,D,2023-09-29
Ivan Rodriguez,141.86,B,2020-07-19
Alice Garcia,830.99,C,2024-09-21
Diana Miller,545.62,D,2025-11-05
Grace Brown,958.79,A,2024-05-01
Ivan Davis,604.09,A,2021-10-17
Heidi Brown,393.54,B,2026-03-31
Eve Garcia,611.5,D,2020-05-26
Heidi Wilson,645.52,A,2020-08-22
Ivan Smith,78.89,A,2022-07-07
Grace Johnson,209.56,B,2026-12-03
Grace Miller,156.99,B,2026-08-17
Diana Williams,917.02,B,2026-06-04
Alice Rodriguez,562.57,B,2022-03-08
Judy Williams,748.48,C,2026-11-10
Ivan Davis,432.73,B,2024-12-01
Frank Brown,81.73,A,2021-09-19
Grace Johnson,973.52,C,2020-03-06
Frank Johnson,643.72,C,2023-05-01
Judy Brown,226.23,B,2025-12-10
Heidi Wilson,196.06,C,2024-01-02
Grace Miller,315.15,C,2026-03-30
Diana Smith,552.68,D,2023-06-19
Ivan Wilson,883.5,D,2021-03-22
Bob Davis,57.4,A,2026-12-30
Diana Johnson,898.4,C,2026-07-10
Alice Johnson,627.4,B,2022-03-13
Heidi Garcia,500.98,A,2023-09-08
Charlie Jones,194.17,D,2021-10-19
Diana Miller,204.19,B,2024-08-10
Bob Wilson,733.45,A,2024-12-07
Diana Davis,497.88,A,2026-04-13
Alice Davis,963.04,A,2024-01-17
Judy Smith,624.04,B,2026-09-05
Charlie Williams,351.08,C,2021-08-28
Heidi Davis,910.59,A,2022-07-03
Grace Brown,191.78,B,2023-10-03
Judy Smith,597.38,C,2022-05-28
Charlie Jones,153.36,B,2021-07-27
Heidi Williams,486.3,A,2023-09-26
Ivan Brown,81.51,C,2020-10-08
Grace Jones,611.45,D,2026-03-06
Bob Rodriguez,701.65,D,2024-10-29
Heidi Jones,993.03,A,2026-10-11
Bob Miller,154.21,D,2023-08-14
Ivan Smith,146.34,C,2021-04-20
Diana Brown,178.08,C,2021-07-03
Bob Wilson,839.52,B,2023-02-10
Charlie Smith,380.26,D,2020-11-19
Alice Johnson,277.34,C,2025-01-19
Diana Garcia,496.55,D,2024-08-14
Alice Rodriguez,43.82,A,2026-11-28
Diana Garcia,251.8,C,2023-09-21
Eve Jones,199.83,A,2024-02-10
Ivan Miller,111.19,C,2023-01-02
Eve Wilson,542.9,B,2022-04-16
Eve Rodriguez,623.2,D,2023-03-03
Ivan Brown,767.27,D,2026-10-27
Diana Jones,768.74,B,2026-06-22
Judy Garcia,488.93,C,2025-06-06
Charlie Rodriguez,103.08,D,2026-11-06
Ivan Smith,814.79,A,2022-05-05
Judy Miller,282.19,D,2020-09-27
Charlie Rodriguez,686.72,A,2022-12-19
Ivan Brown,776.64,C,2025-11-28
Frank Davis,950.61,D,2025-01-05
Ivan Garcia,710.86,B,2021-01-31
Diana Davis,211.12,B,2024-04-15
Frank Smith,474.07,D,2024-01-23
Eve Wilson,424.98,D,2022-04-21
Judy Rodriguez,847.58,C,2025-09-10
Bob Brown,190.98,C,2022-05-28
Judy Garcia,416.46,D,2024-11-26
Charlie Williams,366.13,B,2020-02-02
